transmitter_id,measurement_value
A69-9001-4186,410
A69-9001-59510,400
A69-9001-63871,390
A69-9001-12807,386
A69-9001-63847,383
A69-9001-4162,382
A69-9001-63843,376
A69-9001-63852,375
A69-1601-64005,370
A69-9001-63872,366
A69-9001-5022,360
A69-9001-4181,355
A69-9001-4149,355
A69-9001-63865,352
A69-9001-63866,350
A69-9001-63862,350
A69-9001-59545,350
A69-9001-5027,350
A69-9001-4148,350
A69-9001-4145,350
A69-9001-4135,350
A69-9001-4133,350
A69-9001-4164,348
A69-9001-63931,345
A69-9001-12802,345
A69-9001-63859,344
A69-9001-63924,340
A69-9001-63877,340
A69-9001-59543,340
A69-9001-4159,340
A69-9001-4152,340
A69-9001-4156,339
A69-9001-63839,335
A69-9001-12808,335
A69-9001-63891,330
A69-9001-5024,330
A69-9001-12799,330
A69-9001-59516,328
A69-9001-63873,324
A69-9001-63848,323
A69-9001-5018,321
A69-9001-63892,320
A69-9001-59512,320
A69-9001-4169,320
A69-9001-63969,316
A69-9001-63932,316
A69-9001-4172,316
A69-1601-64006,316
A69-9001-63929,315
A69-9001-59548,315
A69-9001-63953,310
A69-9001-63897,310
A69-9001-63895,310
A69-9001-4173,310
A69-9001-4128,310
A69-9001-12803,310
A69-9001-5026,307
A69-9001-4144,303
A69-9001-63947,302
A69-9001-63845,302
A69-9001-63962,300
A69-9001-63850,300
A69-9001-63837,300
A69-9001-4168,300
A69-9001-12798,300
A69-9001-4166,296
A69-9001-4180,294
A69-9001-4182,293
A69-9001-4142,287
A69-9001-59514,286
A69-9001-4184,285
A69-9001-12809,285
A69-9001-63860,283
A69-9001-59515,282
A69-9001-63896,280
A69-9001-4126,280
A69-9001-63838,277
A69-9001-63893,275
A69-9001-63846,272
A69-9001-4174,272
A69-9001-59557,268
A69-9001-63844,267
A69-9001-63900,265
A69-9001-5023,265
A69-9001-4171,264
A69-1601-64007,264
A69-9001-4145,261
A69-9001-63951,260
A69-9001-63902,260
A69-9001-4167,260
A69-9001-4131,255
A69-9001-4160,252
A69-9001-63931,250
A69-9001-63867,248
A69-9001-4170,246
A69-9001-63924,242
A69-9001-63894,242
A69-9001-63874,241
A69-9001-4138,239
A69-9001-63929,232
A69-9001-12805,231
A69-9001-59533,230
A69-1601-28255,230
A69-9001-4147,217
A69-9001-4144,216
A69-9001-63849,198
A69-9001-63954,197
A69-9001-63898,194
A69-9001-63960,178
A69-9001-63858,178
